YEAR,TEAM ID,TEAM,CONF,SEED,ROUND,W,L,win_pct,KADJ EM,KADJ O,KADJ D,BARTHAG,BADJ EM,3PT%,3PTR,3PT%D,3PTRD,EFG%,EFG%D,2PT%,2PT%D,2PTR,2PTRD,KADJ T,TALENT,EXP,WAB,ELITE SOS,THREES FG%,THREES SHARE,THREES FG%D,THREES D SHARE,CLOSE TWOS FG%,CLOSE TWOS SHARE,FARTHER TWOS FG%,FARTHER TWOS SHARE,DUNKS FG%,DUNKS SHARE,tournament_round,made_tournament,reached_s16,has_shot_splits,three_rate_category,three_pct_category,three_pct_net,three_rate_net,three_value,K TEMPO,FT%,FTR,PPPO,GAMES,3PA,3PM
2026,60,Furman,SC,15,0,19,12,61.29032258,-1.9789,107.451,109.43,0.444,-2.106,33.3,46.3,32.6,41.9,54.8,50.1,59.0,50.9,53.7,58.1,65.8575,11.546,1.607,-8.7,7.376,33.3,46.3,32.6,41.9,62.8,39.2,48.6,14.5,83.7,13.0,0,0,0,1,High (Q4),Low (Q1),0.6999999999999957,4.399999999999999,46.253699999999995,66.4903,69.8,32.1,1.116,31,807,269
2026,65,Georgia,SEC,8,0,22,10,68.75,20.4792,124.681,104.202,0.877,19.557,34.1,43.9,33.7,37.6,54.6,50.1,57.3,49.9,56.1,62.4,71.378,61.02,1.553,2.6,32.391,34.1,43.9,33.7,37.6,63.3,41.9,39.7,14.2,88.8,19.0,0,0,0,1,High (Q4),Mid-Low (Q2),0.3999999999999986,6.299999999999997,44.90970000000001,73.479,75.4,37.0,1.205,32,907,309
2026,68,Gonzaga,WCC,3,0,30,3,90.90909091,28.1006,121.99,93.8895,0.944,26.263,34.0,31.0,30.8,43.7,56.3,46.2,58.7,46.2,69.0,56.3,68.5871,36.781,2.11,7.4,24.986,34.0,31.0,30.8,43.7,66.9,40.4,47.0,28.6,88.6,8.5,0,0,0,1,Low (Q1),Mid-Low (Q2),3.1999999999999993,-12.700000000000003,31.62,70.4115,69.9,31.1,1.205,33,646,220
2026,74,Hawaii,BW,13,0,22,8,73.33333333,5.96572,107.129,101.163,0.636,5.055,31.6,39.7,30.7,32.4,52.0,46.4,55.0,46.6,60.3,67.6,69.6586,9.248,2.599,-3.7,10.053,31.6,39.7,30.7,32.4,60.6,45.2,38.0,15.1,80.5,7.3,0,0,0,1,High (Q4),Low (Q1),0.9000000000000021,7.300000000000004,37.635600000000004,72.2838,73.8,42.4,1.081,30,688,217
2026,252,High Point,BSth,12,0,27,4,87.09677419,8.40428,117.048,108.644,0.699,8.161,34.4,42.9,31.9,41.4,54.7,50.1,57.1,51.6,57.1,58.6,69.8932,13.909,2.541,-1.4,5.665,34.4,42.9,31.9,41.4,62.8,44.8,36.3,12.3,82.5,7.4,0,0,0,1,High (Q4),Mid-Low (Q2),2.5,1.5,44.2728,70.9313,74.2,42.9,1.209,31,808,278
2026,254,Hofstra,CAA,13,0,22,10,68.75,9.49239,114.57,105.077,0.704,8.235,36.8,43.1,32.3,40.6,51.5,45.9,48.6,44.2,56.9,59.4,64.6955,0.2,1.895,-4.7,11.966,36.8,43.1,32.3,40.6,57.1,31.3,38.2,25.5,86.1,7.4,0,0,0,1,High (Q4),Mid-High (Q3),4.5,2.5,47.58239999999999,65.3266,75.9,32.5,1.133,32,800,294
2026,76,Houston,B12,2,0,28,6,82.35294118,33.4265,124.864,91.4372,0.971,32.978,34.9,40.8,32.1,40.9,52.1,46.6,51.9,45.5,59.2,59.1,63.2742,81.968,1.553,9.0,36.826,34.9,40.8,32.1,40.9,67.7,24.9,40.4,34.3,95.5,8.8,0,0,0,1,High (Q4),Mid-Low (Q2),2.799999999999997,-0.10000000000000142,42.71759999999999,64.8944,77.2,26.9,1.184,34,853,298
2026,77,Howard,MEAC,16,0,19,10,65.51724138,-3.18939,103.142,106.331,0.424,-2.787,34.7,34.3,30.4,34.0,50.6,47.4,49.9,48.3,65.7,66.0,68.9954,0.2,1.89,-6.9,8.612,34.7,34.3,30.4,34.0,53.9,48.9,38.1,16.8,92.0,8.2,0,0,0,1,Mid-Low (Q2),Mid-Low (Q2),4.300000000000004,0.29999999999999716,35.7063,69.1643,74.2,44.2,1.08,29,555,193
2026,255,Idaho,BSky,15,0,18,14,56.25,1.53307,108.842,107.309,0.57,2.639,34.5,46.8,34.8,35.8,51.9,50.3,52.0,49.3,53.2,64.2,67.7163,0.2,2.008,-8.9,11.302,34.5,46.8,34.8,35.8,57.8,37.2,38.5,16.0,79.3,2.9,0,0,0,1,High (Q4),Mid-Low (Q2),-0.29999999999999716,11.0,48.437999999999995,69.2371,72.9,34.8,1.103,32,885,305
2026,78,Illinois,B10,3,0,24,8,75.0,32.1008,131.176,99.0756,0.968,33.742,34.7,50.7,31.4,42.2,55.1,47.6,58.2,48.0,49.3,57.8,65.5241,63.056,1.548,6.6,38.28,34.7,50.7,31.4,42.2,68.0,32.7,38.9,16.6,85.9,8.0,0,0,0,1,High (Q4),Mid-Low (Q2),3.3000000000000043,8.5,52.77870000000001,66.2363,78.9,32.9,1.255,32,990,344
2026,82,Iowa,B10,9,0,21,12,63.63636364,22.4441,121.742,99.2974,0.907,21.94,35.7,41.6,33.7,39.1,56.6,52.7,58.7,54.0,58.4,60.9,63.0052,14.299,1.776,1.9,35.51,35.7,41.6,33.7,39.1,66.5,39.3,42.6,19.1,90.4,10.0,0,0,0,1,High (Q4),Mid-Low (Q2),2.0,2.5,44.55360000000001,63.3898,77.0,34.5,1.182,33,736,263
2026,83,Iowa St.,B12,2,0,27,7,79.41176471,32.423,123.826,91.4031,0.966,31.138,38.7,38.8,32.1,42.8,56.5,49.5,55.5,50.5,61.2,57.2,66.5484,50.469,1.944,7.4,35.368,38.7,38.8,32.1,42.8,65.9,37.8,38.6,23.4,91.9,9.9,0,0,0,1,Mid-High (Q3),High (Q4),6.600000000000001,-4.0,45.0468,68.1783,67.2,34.0,1.2,34,794,307
2026,86,Kansas,B12,4,0,23,10,69.6969697,24.4399,118.33,93.8906,0.928,23.486,35.0,35.7,30.7,42.0,51.6,45.2,51.1,44.7,64.3,58.0,67.6362,57.848,1.629,6.3,41.65,35.0,35.7,30.7,42.0,63.2,35.7,36.0,28.6,90.8,14.8,0,0,0,1,Mid-High (Q3),Mid-Low (Q2),4.300000000000001,-6.299999999999997,37.48500000000001,68.2177,76.7,32.6,1.1,33,690,241
2026,88,Kennesaw St.,CUSA,14,0,18,13,58.06451613,0.572421,110.636,110.064,0.534,1.299,33.7,42.9,33.9,38.3,50.7,48.5,50.8,47.0,57.1,61.7,71.1569,13.242,1.297,-8.0,11.706,33.7,42.9,33.9,38.3,57.2,41.6,33.4,15.5,91.0,6.3,0,0,0,1,High (Q4),Low (Q1),-0.19999999999999574,4.600000000000001,43.371900000000004,71.8683,70.0,45.1,1.111,31,799,269
2026,90,Kentucky,SEC,7,0,21,13,61.76470588,21.4832,120.516,99.0324,0.89,19.925,34.1,39.2,31.6,39.5,53.1,48.8,54.4,49.6,60.8,60.5,68.34,85.092,1.581,3.3,40.797,34.1,39.2,31.6,39.5,64.1,37.8,38.3,23.0,90.9,14.1,0,0,0,1,Mid-High (Q3),Mid-Low (Q2),2.5,-0.29999999999999716,40.101600000000005,69.7956,72.8,37.5,1.157,34,806,275
2026,94,Lehigh,Pat,16,0,16,16,50.0,-10.3689,102.717,113.086,0.252,-10.193,36.5,38.2,32.8,32.2,53.3,50.6,52.4,51.2,61.8,67.8,66.8824,0.826,1.368,-12.0,9.479,36.5,38.2,32.8,32.2,62.1,34.6,40.1,27.2,89.1,4.2,0,0,0,1,Mid-High (Q3),Mid-High (Q3),3.700000000000003,6.0,41.829,66.5697,72.9,32.2,1.052,32,658,240
2026,98,LIU Brooklyn,NEC,16,0,24,10,70.58823529,-3.95107,105.631,109.582,0.341,-6.109,36.1,29.0,31.9,33.2,53.3,49.8,52.9,50.8,71.0,66.8,67.7741,0.2,2.414,-5.8,9.691,36.1,29.0,31.9,33.2,59.8,46.6,39.9,24.4,86.7,12.5,0,0,0,1,Low (Q1),Mid-High (Q3),4.200000000000003,-4.200000000000003,31.407,68.1388,66.8,34.7,1.083,34,561,203
2026,102,Louisville,ACC,6,0,23,10,69.6969697,25.4242,124.053,98.6289,0.936,25.868,35.7,52.8,32.7,39.1,56.4,48.8,59.7,48.6,47.2,60.9,69.6486,39.12,2.208,4.0,35.248,35.7,52.8,32.7,39.1,64.7,36.9,41.8,10.3,88.1,12.4,0,0,0,1,High (Q4),Mid-Low (Q2),3.0,13.699999999999996,56.54880000000001,70.9731,76.9,33.5,1.194,33,1066,381
2026,248,McNeese St.,Slnd,12,0,26,5,83.87096774,12.5017,114.306,101.805,0.764,10.985,31.6,35.1,32.5,46.8,51.0,48.9,52.9,49.1,64.9,53.2,66.2315,48.482,1.919,0.7,14.16,31.6,35.1,32.5,46.8,58.4,45.5,39.8,19.4,94.7,9.5,0,0,0,1,Mid-Low (Q2),Low (Q1),-0.8999999999999986,-11.699999999999996,33.274800000000006,66.4824,74.0,38.3,1.143,31,634,200
2026,113,Miami FL,ACC,7,0,25,8,75.75757576,20.6799,121.357,100.677,0.884,19.611,34.7,31.7,35.4,40.9,55.6,51.7,57.2,50.8,68.3,59.1,67.5506,80.783,1.67,3.8,29.331,34.7,31.6,35.4,40.9,64.8,46.7,41.0,21.6,85.4,12.7,0,0,0,1,Mid-Low (Q2),Mid-Low (Q2),-0.6999999999999957,-9.2,32.999700000000004,69.3367,68.5,37.5,1.182,33,626,217
2026,256,Miami OH,MAC,11,0,28,1,96.55172414,8.2572,116.779,108.522,0.718,9.1,37.5,44.6,33.0,36.8,59.2,50.8,61.5,51.6,55.4,63.2,69.947,11.186,1.693,2.5,8.266,37.5,44.6,33.0,36.8,68.2,39.9,44.1,15.4,96.2,5.6,0,0,0,1,High (Q4),Mid-High (Q3),4.5,7.800000000000004,50.175000000000004,71.2663,75.0,40.2,1.203,29,746,280
2026,114,Michigan,B10,1,0,31,3,91.17647059,37.592,126.626,89.0343,0.98,36.587,36.0,41.8,30.2,41.8,58.1,44.7,61.0,44.3,58.2,58.2,70.9486,69.852,1.947,14.0,41.856,36.0,41.8,30.2,41.8,68.1,43.2,40.4,15.0,91.1,15.1,0,0,0,1,High (Q4),Mid-High (Q3),5.800000000000001,0.0,45.144,71.3221,74.7,37.7,1.213,34,852,307
2026,115,Michigan St.,B10,3,0,25,7,78.125,28.31,123.049,94.7386,0.944,26.73,35.9,36.4,32.9,46.0,53.6,48.6,53.4,48.0,63.6,54.0,66.0475,68.794,1.815,7.4,37.86,35.9,36.4,32.9,46.0,66.1,33.1,39.7,30.5,90.3,12.9,0,0,0,1,Mid-High (Q3),Mid-High (Q3),3.0,-9.600000000000001,39.202799999999996,66.801,76.3,36.2,1.173,32,677,243
2026,122,Missouri,SEC,10,0,20,12,62.5,15.3923,119.491,104.099,0.851,16.894,35.0,36.0,36.5,43.1,55.3,51.4,56.9,48.9,64.0,56.9,66.1629,66.401,2.282,1.2,34.025,35.0,36.0,36.5,43.1,66.3,44.4,35.9,19.6,95.7,12.0,0,0,0,1,Mid-High (Q3),Mid-Low (Q2),-1.5,-7.100000000000001,37.8,68.3597,68.6,42.5,1.156,32,651,228
2026,129,Nebraska,B10,4,0,26,6,81.25,26.1577,118.544,92.3865,0.931,23.771,35.3,50.7,29.9,49.3,55.4,47.8,58.1,50.6,49.3,50.7,66.7205,42.458,2.26,7.5,35.291,35.3,50.7,29.9,49.3,69.7,32.7,35.0,16.5,91.4,3.8,0,0,0,1,High (Q4),Mid-Low (Q2),5.399999999999999,1.4000000000000057,53.6913,67.2763,75.0,27.2,1.14,32,948,335
2026,135,North Carolina,ACC,6,0,24,8,75.0,20.842,121.387,100.545,0.903,21.415,34.5,42.3,34.5,36.9,54.6,48.2,56.7,46.1,57.7,63.1,67.9079,63.835,1.523,4.9,33.421,34.5,42.3,34.5,36.9,65.3,36.8,41.4,20.9,87.9,15.8,0,0,0,1,High (Q4),Mid-Low (Q2),0.0,5.399999999999999,43.780499999999996,68.7852,68.4,37.4,1.16,32,801,276
2026,138,North Carolina St.,ACC,11,0,20,13,60.60606061,19.5967,124.052,104.456,0.877,19.444,38.8,43.9,35.6,45.3,55.3,53.0,53.1,52.7,56.1,54.7,69.0586,63.205,2.189,0.34,32.779,38.8,43.9,35.6,45.3,61.3,38.7,34.7,17.4,87.0,8.9,0,0,0,1,High (Q4),High (Q4),3.1999999999999957,-1.3999999999999986,51.099599999999995,69.5893,76.8,35.2,1.19,33,872,338
2026,140,North Dakota St.,Sum,14,0,24,7,77.41935484,5.13396,111.74,106.606,0.639,5.41,35.7,42.7,33.5,44.4,53.4,51.5,53.2,52.6,57.3,55.6,66.2972,0.2,1.834,-3.4,8.155,35.7,42.7,33.5,44.4,60.4,36.9,40.1,20.4,94.8,7.1,0,0,0,1,High (Q4),Mid-Low (Q2),2.200000000000003,-1.6999999999999957,45.73170000000001,68.0273,71.6,30.7,1.145,31,801,286
2026,145,Northern Iowa,MVC,12,0,22,12,64.70588235,11.8089,110.001,98.1918,0.774,11.129,34.9,39.6,28.9,41.5,54.2,47.2,55.3,50.0,60.4,58.5,62.2651,19.874,2.321,-5.3,14.539,34.9,39.6,28.9,41.5,61.8,39.8,43.0,20.6,87.5,8.5,0,0,0,1,High (Q4),Mid-Low (Q2),6.0,-1.8999999999999986,41.4612,63.4121,69.7,25.7,1.081,34,731,255
2026,152,Ohio St.,B10,8,0,21,12,63.63636364,22.2397,124.305,102.066,0.917,23.609,36.0,40.1,31.6,40.3,56.5,50.3,58.2,52.3,59.9,59.7,66.0578,68.946,1.779,2.9,37.869,36.0,40.1,31.6,40.3,67.5,31.2,48.0,28.7,90.6,7.7,0,0,0,1,High (Q4),Mid-High (Q3),4.399999999999999,-0.19999999999999574,43.308,66.5802,77.5,37.8,1.186,33,734,264
2026,160,Penn,Ivy,14,0,17,11,60.71428571,1.46919,107.363,105.894,0.531,1.162,38.7,35.0,31.7,39.3,50.3,51.7,46.2,54.4,65.0,60.7,69.0438,17.192,1.869,-6.0,12.952,38.7,35.0,31.7,39.3,53.7,37.4,36.0,27.6,90.6,2.9,0,0,0,1,Mid-Low (Q2),High (Q4),7.0000000000000036,-4.299999999999997,40.635,68.8241,69.5,35.2,1.075,28,580,224
2026,164,Prairie View A&M,SWAC,16,0,14,17,45.16129032,-10.6932,101.205,111.898,0.254,-9.977,33.2,30.9,35.0,32.7,47.9,50.4,47.0,49.4,69.1,67.3,70.938,0.231,2.802,-12.6,10.925,33.2,30.9,35.0,32.7,55.6,38.4,36.3,30.7,92.9,2.2,0,0,0,1,Low (Q1),Low (Q1),-1.7999999999999972,-1.8000000000000043,30.776400000000002,72.8256,75.2,42.8,1.037,31,565,188
2026,167,Purdue,B10,2,0,27,8,77.14285714,31.1992,131.635,100.436,0.964,33.037,37.9,40.9,34.2,45.0,57.6,52.3,58.1,53.1,59.1,55.0,64.3693,59.3,2.015,9.2,41.305,37.9,40.9,34.2,45.0,72.2,28.2,45.3,30.9,94.8,7.8,0,0,0,1,High (Q4),High (Q4),3.6999999999999957,-4.100000000000001,46.503299999999996,65.2669,74.3,28.6,1.247,35,854,324
2026,258,Queens,ASun,15,0,20,13,60.60606061,-1.43724,115.771,117.209,0.439,-2.45,35.9,46.8,35.8,39.5,56.6,54.0,59.0,54.1,53.2,60.5,69.5919,9.008,1.734,-7.0,14.561,35.9,46.8,35.8,39.5,64.0,40.1,43.7,13.1,94.6,7.0,0,0,0,1,High (Q4),Mid-High (Q3),0.10000000000000142,7.299999999999997,50.40359999999999,70.7192,74.9,36.3,1.19,33,926,332
2026,174,Saint Louis,A10,9,0,27,5,84.375,18.321,119.475,101.154,0.858,17.342,40.5,45.1,30.0,41.6,59.7,44.8,58.9,44.6,54.9,58.4,70.9898,21.913,1.939,1.9,15.895,40.5,45.1,30.0,41.6,62.6,47.1,36.5,7.8,91.7,5.7,0,0,0,1,High (Q4),High (Q4),10.5,3.5,54.7965,71.9297,74.4,34.7,1.202,32,859,348
2026,175,Saint Mary's,WCC,7,0,26,5,83.87096774,23.0701,120.26,97.1899,0.91,21.803,38.6,36.1,31.2,36.8,52.9,46.7,50.2,46.6,63.9,63.2,65.1588,36.989,1.349,4.0,22.727,38.6,36.1,31.2,36.8,58.0,38.7,38.2,25.2,76.4,4.8,0,0,0,1,Mid-High (Q3),High (Q4),7.400000000000002,-0.6999999999999957,41.8038,66.3613,81.1,35.8,1.169,31,644,249
2026,259,Santa Clara,WCC,10,0,25,8,75.75757576,19.3981,123.644,104.246,0.895,21.284,34.9,45.0,33.0,38.2,54.6,51.8,56.5,53.2,55.0,61.8,69.1516,20.016,1.435,2.1,24.151,34.9,45.0,33.0,38.2,61.6,35.1,47.5,19.9,86.7,8.4,0,0,0,1,High (Q4),Mid-Low (Q2),1.8999999999999986,6.799999999999997,47.114999999999995,69.572,74.0,25.8,1.191,33,959,335
2026,182,Siena,MAAC,16,0,23,11,67.64705882,-2.09721,107.134,109.231,0.455,-1.697,30.4,31.9,32.8,39.3,50.6,48.6,52.8,48.2,68.1,60.7,64.6233,3.878,1.725,-7.8,6.825,30.4,31.9,32.8,39.3,58.4,40.9,44.5,27.2,94.9,4.6,0,0,0,1,Mid-Low (Q2),Low (Q1),-2.3999999999999986,-7.399999999999999,29.092799999999997,64.3061,76.9,34.2,1.093,34,598,182
2026,183,SMU,ACC,11,0,20,13,60.60606061,18.0856,122.893,104.808,0.861,18.073,37.4,36.0,33.9,47.2,55.7,51.4,55.5,52.0,64.0,52.8,68.5372,44.289,2.034,-0.02,32.0,37.4,36.0,33.9,47.2,64.5,34.8,44.8,29.2,82.3,9.8,0,0,0,1,Mid-High (Q3),Mid-High (Q3),3.5,-11.200000000000003,40.391999999999996,70.6859,74.1,30.6,1.182,33,740,277
2026,187,South Florida,Amer,11,0,24,8,75.0,16.3874,117.305,100.918,0.835,15.363,33.1,43.8,33.9,39.5,50.9,48.4,51.9,46.7,56.2,60.5,71.5099,30.828,2.247,-0.26,18.197,33.1,43.8,33.9,39.5,55.6,46.8,33.3,9.4,82.0,13.6,0,0,0,1,High (Q4),Low (Q1),-0.7999999999999972,4.299999999999997,43.4934,72.9091,74.3,41.1,1.17,32,903,299
2026,192,St. John's,BE,5,0,28,6,82.35294118,25.9079,120.068,94.1597,0.941,25.712,33.2,33.8,31.3,33.7,51.0,47.4,51.6,47.5,66.2,66.3,69.5583,70.084,2.3,7.3,31.162,33.2,33.8,31.3,33.7,58.9,44.1,37.0,22.1,93.1,9.5,0,0,0,1,Mid-Low (Q2),Low (Q1),1.9000000000000021,0.09999999999999432,33.6648,70.9942,72.7,41.9,1.145,34,705,234
2026,197,TCU,B12,9,0,22,11,66.66666667,17.5867,115.379,97.7924,0.836,15.195,33.1,36.9,33.7,38.1,50.9,51.0,51.6,51.3,63.1,61.9,67.6696,50.351,1.807,2.4,33.811,33.2,36.8,33.7,38.1,59.1,39.1,39.5,24.1,87.2,7.4,0,0,0,1,Mid-High (Q3),Low (Q1),-0.6000000000000014,-1.2000000000000028,36.6417,69.666,70.8,38.7,1.111,33,729,241
2026,199,Tennessee,SEC,6,0,22,11,66.66666667,26.0249,121.055,95.0297,0.941,25.971,33.4,31.7,30.6,44.4,51.6,47.7,52.2,49.2,68.3,55.6,64.973,59.748,1.473,4.1,38.555,33.4,31.7,30.6,44.4,60.8,43.5,37.1,24.7,89.3,10.8,0,0,0,1,Mid-Low (Q2),Low (Q1),2.799999999999997,-12.7,31.763399999999997,67.3064,69.4,38.7,1.168,33,632,211
2026,260,Tennessee St.,OVC,15,0,20,9,68.96551724,-1.82605,109.085,110.911,0.394,-4.127,33.7,30.7,33.5,36.0,50.1,51.2,49.9,51.8,69.3,64.0,70.1975,3.291,2.506,-5.7,8.742,33.7,30.7,33.5,36.0,59.7,40.4,36.3,28.9,87.2,9.4,0,0,0,1,Low (Q1),Low (Q1),0.20000000000000284,-5.300000000000001,31.0377,70.5659,76.3,33.5,1.102,29,551,186
2026,200,Texas,SEC,11,0,17,14,54.83870968,19.0333,124.97,105.937,0.854,17.664,34.9,36.2,36.0,33.3,54.2,51.2,55.3,49.8,63.8,66.7,66.8781,55.968,2.238,-0.21,37.671,34.9,36.2,36.0,33.3,63.0,39.9,42.4,24.0,87.8,10.8,0,0,0,1,Mid-High (Q3),Mid-Low (Q2),-1.1000000000000014,2.9000000000000057,37.9014,68.5655,75.3,46.2,1.195,31,642,224
2026,201,Texas A&M,SEC,10,0,21,11,65.625,18.6679,119.69,101.022,0.873,18.498,36.2,46.3,31.7,41.5,54.2,50.8,54.1,53.1,53.7,58.5,70.4548,29.541,2.497,1.6,32.472,36.2,46.3,31.7,41.5,58.5,41.5,39.0,12.2,85.5,6.9,0,0,0,1,High (Q4),Mid-High (Q3),4.5000000000000036,4.799999999999997,50.2818,72.6275,73.7,37.4,1.182,32,935,338
2026,204,Texas Tech,B12,5,0,22,10,68.75,25.2243,125.05,99.8259,0.944,27.504,39.3,48.0,31.5,35.0,56.2,49.4,53.6,50.6,52.0,65.0,66.185,41.675,1.601,5.0,40.139,39.3,48.0,31.5,35.0,63.3,25.7,44.1,26.3,85.7,6.2,0,0,0,1,High (Q4),High (Q4),7.799999999999997,13.0,56.59199999999999,67.9599,71.5,27.1,1.179,32,934,367
2026,205,Troy,SB,13,0,20,11,64.51612903,1.72038,110.717,108.997,0.544,1.678,33.2,45.6,31.3,38.4,51.9,50.1,53.7,52.0,54.4,61.6,64.8776,0.2,1.897,-6.2,11.323,33.2,45.6,31.3,38.4,57.4,44.2,37.4,10.2,85.9,7.7,0,0,0,1,High (Q4),Low (Q1),1.9000000000000021,7.200000000000003,45.41760000000001,67.0265,73.8,36.3,1.12,31,813,270
2026,211,UCF,B12,10,0,21,11,65.625,15.0386,120.452,105.413,0.812,14.327,36.2,34.4,34.0,39.7,52.8,52.4,52.1,53.2,65.6,60.3,69.2088,42.096,2.429,2.1,33.921,36.2,34.4,34.0,39.7,60.8,39.2,39.2,26.4,94.2,6.5,0,0,0,1,Mid-Low (Q2),Mid-High (Q3),2.200000000000003,-5.300000000000004,37.3584,70.6277,74.0,30.8,1.137,32,689,249
2026,212,UCLA,B10,7,0,23,11,67.64705882,21.667,123.728,102.061,0.911,22.757,38.2,35.9,31.8,44.7,53.9,50.4,52.0,52.7,64.1,55.3,64.6449,70.281,2.244,3.6,36.27,38.2,35.9,31.8,44.7,62.4,31.4,42.1,32.7,88.7,5.6,0,0,0,1,Mid-High (Q3),High (Q4),6.400000000000002,-8.800000000000004,41.141400000000004,65.6763,76.7,33.1,1.17,34,704,269
