YEAR,TEAM ID,TEAM,CONF,SEED,ROUND,W,L,win_pct,GAMES,KADJ EM,KADJ O,KADJ D,BARTHAG,BADJ EM,3PT%,3PTR,3PT%D,3PTRD,EFG%,EFG%D,2PT%,2PT%D,2PTR,2PTRD,KADJ T,K TEMPO,PPPO,FT%,FTR,TALENT,EXP,WAB,ELITE SOS,THREES FG%,THREES SHARE,THREES FG%D,THREES D SHARE,CLOSE TWOS FG%,CLOSE TWOS SHARE,FARTHER TWOS FG%,FARTHER TWOS SHARE,DUNKS FG%,DUNKS SHARE,tournament_round,made_tournament,reached_s16,has_shot_splits,three_rate_category,three_pct_category,three_pct_net,three_rate_net,three_value,3PA,3PM,2PA,2PM
2026,68,Gonzaga,WCC,3,0,30,3,90.90909091,33,28.1006,121.99,93.8895,0.944,26.263,34.0,31.0,30.8,43.7,56.3,46.2,58.7,46.2,69.0,56.3,68.5871,70.4115,1.205,69.9,31.1,36.781,2.11,7.4,24.986,34.0,31.0,30.8,43.7,66.9,40.4,47.0,28.6,88.6,8.5,0,0,0,1,Low (Q1),Mid-Low (Q2),3.1999999999999993,-12.700000000000003,31.62,646,220,1438,844
2026,74,Hawaii,BW,13,0,22,8,73.33333333,30,5.96572,107.129,101.163,0.636,5.055,31.6,39.7,30.7,32.4,52.0,46.4,55.0,46.6,60.3,67.6,69.6586,72.2838,1.081,73.8,42.4,9.248,2.599,-3.7,10.053,31.6,39.7,30.7,32.4,60.6,45.2,38.0,15.1,80.5,7.3,0,0,0,1,High (Q4),Low (Q1),0.9000000000000021,7.300000000000004,37.635600000000004,688,217,1045,575
2026,252,High Point,BSth,12,0,27,4,87.09677419,31,8.40428,117.048,108.644,0.699,8.161,34.4,42.9,31.9,41.4,54.7,50.1,57.1,51.6,57.1,58.6,69.8932,70.9313,1.209,74.2,42.9,13.909,2.541,-1.4,5.665,34.4,42.9,31.9,41.4,62.8,44.8,36.3,12.3,82.5,7.4,0,0,0,1,High (Q4),Mid-Low (Q2),2.5,1.5,44.2728,808,278,1074,613
2026,254,Hofstra,CAA,13,0,22,10,68.75,32,9.49239,114.57,105.077,0.704,8.235,36.8,43.1,32.3,40.6,51.5,45.9,48.6,44.2,56.9,59.4,64.6955,65.3266,1.133,75.9,32.5,0.2,1.895,-4.7,11.966,36.8,43.1,32.3,40.6,57.1,31.3,38.2,25.5,86.1,7.4,0,0,0,1,High (Q4),Mid-High (Q3),4.5,2.5,47.58239999999999,800,294,1055,513
2026,76,Houston,B12,2,0,28,6,82.35294118,34,33.4265,124.864,91.4372,0.971,32.978,34.9,40.8,32.1,40.9,52.1,46.6,51.9,45.5,59.2,59.1,63.2742,64.8944,1.184,77.2,26.9,81.968,1.553,9.0,36.826,34.9,40.8,32.1,40.9,67.7,24.9,40.4,34.3,95.5,8.8,0,0,0,1,High (Q4),Mid-Low (Q2),2.799999999999997,-0.10000000000000142,42.71759999999999,853,298,1237,642
2026,77,Howard,MEAC,16,0,19,10,65.51724138,29,-3.18939,103.142,106.331,0.424,-2.787,34.7,34.3,30.4,34.0,50.6,47.4,49.9,48.3,65.7,66.0,68.9954,69.1643,1.08,74.2,44.2,0.2,1.89,-6.9,8.612,34.7,34.3,30.4,34.0,53.9,48.9,38.1,16.8,92.0,8.2,0,0,0,1,Mid-Low (Q2),Mid-Low (Q2),4.300000000000004,0.29999999999999716,35.7063,555,193,1062,530
2026,255,Idaho,BSky,15,0,18,14,56.25,32,1.53307,108.842,107.309,0.57,2.639,34.5,46.8,34.8,35.8,51.9,50.3,52.0,49.3,53.2,64.2,67.7163,69.2371,1.103,72.9,34.8,0.2,2.008,-8.9,11.302,34.5,46.8,34.8,35.8,57.8,37.2,38.5,16.0,79.3,2.9,0,0,0,1,High (Q4),Mid-Low (Q2),-0.29999999999999716,11.0,48.437999999999995,885,305,1007,524
2026,78,Illinois,B10,3,0,24,8,75.0,32,32.1008,131.176,99.0756,0.968,33.742,34.7,50.7,31.4,42.2,55.1,47.6,58.2,48.0,49.3,57.8,65.5241,66.2363,1.255,78.9,32.9,63.056,1.548,6.6,38.28,34.7,50.7,31.4,42.2,68.0,32.7,38.9,16.6,85.9,8.0,0,0,0,1,High (Q4),Mid-Low (Q2),3.3000000000000043,8.5,52.77870000000001,990,344,964,561
2026,82,Iowa,B10,9,0,21,12,63.63636364,33,22.4441,121.742,99.2974,0.907,21.94,35.7,41.6,33.7,39.1,56.6,52.7,58.7,54.0,58.4,60.9,63.0052,63.3898,1.182,77.0,34.5,14.299,1.776,1.9,35.51,35.7,41.6,33.7,39.1,66.5,39.3,42.6,19.1,90.4,10.0,0,0,0,1,High (Q4),Mid-Low (Q2),2.0,2.5,44.55360000000001,736,263,1033,606
2026,83,Iowa St.,B12,2,0,27,7,79.41176471,34,32.423,123.826,91.4031,0.966,31.138,38.7,38.8,32.1,42.8,56.5,49.5,55.5,50.5,61.2,57.2,66.5484,68.1783,1.2,67.2,34.0,50.469,1.944,7.4,35.368,38.7,38.8,32.1,42.8,65.9,37.8,38.6,23.4,91.9,9.9,0,0,0,1,Mid-High (Q3),High (Q4),6.600000000000001,-4.0,45.0468,794,307,1254,696
2026,86,Kansas,B12,4,0,23,10,69.6969697,33,24.4399,118.33,93.8906,0.928,23.486,35.0,35.7,30.7,42.0,51.6,45.2,51.1,44.7,64.3,58.0,67.6362,68.2177,1.1,76.7,32.6,57.848,1.629,6.3,41.65,35.0,35.7,30.7,42.0,63.2,35.7,36.0,28.6,90.8,14.8,0,0,0,1,Mid-High (Q3),Mid-Low (Q2),4.300000000000001,-6.299999999999997,37.48500000000001,690,241,1242,635
2026,88,Kennesaw St.,CUSA,14,0,18,13,58.06451613,31,0.572421,110.636,110.064,0.534,1.299,33.7,42.9,33.9,38.3,50.7,48.5,50.8,47.0,57.1,61.7,71.1569,71.8683,1.111,70.0,45.1,13.242,1.297,-8.0,11.706,33.7,42.9,33.9,38.3,57.2,41.6,33.4,15.5,91.0,6.3,0,0,0,1,High (Q4),Low (Q1),-0.19999999999999574,4.600000000000001,43.371900000000004,799,269,1062,539
2026,90,Kentucky,SEC,7,0,21,13,61.76470588,34,21.4832,120.516,99.0324,0.89,19.925,34.1,39.2,31.6,39.5,53.1,48.8,54.4,49.6,60.8,60.5,68.34,69.7956,1.157,72.8,37.5,85.092,1.581,3.3,40.797,34.1,39.2,31.6,39.5,64.1,37.8,38.3,23.0,90.9,14.1,0,0,0,1,Mid-High (Q3),Mid-Low (Q2),2.5,-0.29999999999999716,40.101600000000005,806,275,1251,681
2026,94,Lehigh,Pat,16,0,16,16,50.0,32,-10.3689,102.717,113.086,0.252,-10.193,36.5,38.2,32.8,32.2,53.3,50.6,52.4,51.2,61.8,67.8,66.8824,66.5697,1.052,72.9,32.2,0.826,1.368,-12.0,9.479,36.5,38.2,32.8,32.2,62.1,34.6,40.1,27.2,89.1,4.2,0,0,0,1,Mid-High (Q3),Mid-High (Q3),3.700000000000003,6.0,41.829,658,240,1065,558
2026,98,LIU Brooklyn,NEC,16,0,24,10,70.58823529,34,-3.95107,105.631,109.582,0.341,-6.109,36.1,29.0,31.9,33.2,53.3,49.8,52.9,50.8,71.0,66.8,67.7741,68.1388,1.083,66.8,34.7,0.2,2.414,-5.8,9.691,36.1,29.0,31.9,33.2,59.8,46.6,39.9,24.4,86.7,12.5,0,0,0,1,Low (Q1),Mid-High (Q3),4.200000000000003,-4.200000000000003,31.407,561,203,1372,726
2026,102,Louisville,ACC,6,0,23,10,69.6969697,33,25.4242,124.053,98.6289,0.936,25.868,35.7,52.8,32.7,39.1,56.4,48.8,59.7,48.6,47.2,60.9,69.6486,70.9731,1.194,76.9,33.5,39.12,2.208,4.0,35.248,35.7,52.8,32.7,39.1,64.7,36.9,41.8,10.3,88.1,12.4,0,0,0,1,High (Q4),Mid-Low (Q2),3.0,13.699999999999996,56.54880000000001,1066,381,952,568
2026,248,McNeese St.,Slnd,12,0,26,5,83.87096774,31,12.5017,114.306,101.805,0.764,10.985,31.6,35.1,32.5,46.8,51.0,48.9,52.9,49.1,64.9,53.2,66.2315,66.4824,1.143,74.0,38.3,48.482,1.919,0.7,14.16,31.6,35.1,32.5,46.8,58.4,45.5,39.8,19.4,94.7,9.5,0,0,0,1,Mid-Low (Q2),Low (Q1),-0.8999999999999986,-11.699999999999996,33.274800000000006,634,200,1173,621
