teamstatspk,team,win_percentage,minutes,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,playoff_stage,three_point_volume,three_point_contribution,season_year,three_pt_tier
213,San Antonio Spurs,0.529,48.6,94.1,35.5,79.7,0.446,7.5,20.1,0.375,15.5,20.8,0.745,2007-08,Conf Finals,0.25219573400250944,0.23910733262486716,2007,High
214,Orlando Magic,0.5,48.0,97.1,35.4,75.4,0.469,9.0,25.3,0.35600000000000004,17.3,24.3,0.7120000000000001,2007-08,Conf Semis,0.3355437665782493,0.2780638516992791,2007,Medium
215,Utah Jazz,0.5,48.4,98.9,36.4,81.8,0.445,5.8,16.7,0.35,20.3,27.0,0.75,2007-08,Conf Semis,0.2041564792176039,0.17593528816986853,2007,Medium
216,Atlanta Hawks,0.429,48.0,87.1,29.3,71.3,0.41100000000000003,4.0,12.4,0.322,24.6,31.4,0.782,2007-08,R1 Exit,0.1739130434782609,0.13777267508610794,2007,Low
217,Houston Rockets,0.333,48.0,88.0,32.2,78.7,0.409,5.8,20.0,0.292,17.8,26.2,0.682,2007-08,R1 Exit,0.25412960609911056,0.19772727272727272,2007,Low
218,Philadelphia 76ers,0.333,48.0,85.8,31.2,74.7,0.41700000000000004,1.8,7.8,0.23399999999999999,21.7,30.0,0.722,2007-08,R1 Exit,0.10441767068273092,0.06293706293706294,2007,Low
219,Washington Wizards,0.333,48.0,92.2,32.0,75.2,0.426,6.0,19.7,0.305,22.2,29.0,0.764,2007-08,R1 Exit,0.261968085106383,0.19522776572668113,2007,Low
220,Dallas Mavericks,0.2,48.0,94.0,31.6,78.8,0.401,7.2,20.8,0.34600000000000003,23.6,30.0,0.787,2007-08,R1 Exit,0.2639593908629442,0.22978723404255322,2007,Medium
221,Phoenix Suns,0.2,50.0,100.4,38.0,82.4,0.461,5.0,14.8,0.33799999999999997,19.4,30.4,0.638,2007-08,R1 Exit,0.1796116504854369,0.149402390438247,2007,Medium
222,Toronto Raptors,0.2,48.0,99.4,37.2,85.6,0.435,8.4,24.0,0.35,16.6,19.2,0.865,2007-08,R1 Exit,0.28037383177570097,0.2535211267605634,2007,Medium
223,Denver Nuggets,0.0,48.0,101.5,37.8,88.5,0.42700000000000005,4.5,18.0,0.25,21.5,29.0,0.741,2007-08,R1 Exit,0.2033898305084746,0.1330049261083744,2007,Low
224,San Antonio Spurs,0.8,48.0,95.7,35.3,76.8,0.45899999999999996,7.6,19.7,0.384,17.6,24.3,0.7240000000000001,2006-07,Champion,0.2565104166666667,0.23824451410658304,2006,High
225,Detroit Pistons,0.625,48.6,91.4,32.7,76.0,0.43,5.8,16.6,0.35,20.2,26.3,0.767,2006-07,Conf Finals,0.21842105263157896,0.19037199124726475,2006,Medium
226,Chicago Bulls,0.6,48.0,92.4,32.5,75.6,0.43,5.9,16.6,0.355,21.5,29.5,0.7290000000000001,2006-07,Conf Semis,0.21957671957671962,0.19155844155844157,2006,Medium
227,Cleveland Cavaliers,0.6,48.5,88.8,32.1,76.3,0.42100000000000004,5.4,16.6,0.326,19.2,26.1,0.737,2006-07,Finals,0.21756225425950199,0.18243243243243246,2006,Low
228,Phoenix Suns,0.545,48.0,104.1,39.0,81.8,0.47700000000000004,7.1,18.7,0.379,19.0,24.4,0.78,2006-07,Conf Semis,0.22860635696821516,0.20461095100864551,2006,High
229,Utah Jazz,0.529,48.3,97.9,36.4,79.4,0.45899999999999996,4.3,12.6,0.341,20.8,27.7,0.7490000000000001,2006-07,Conf Finals,0.1586901763224181,0.13176710929519916,2006,Medium
230,New Jersey Nets,0.5,48.0,90.2,32.6,73.3,0.444,7.7,20.8,0.368,17.3,23.3,0.743,2006-07,Conf Semis,0.2837653478854025,0.25609756097560976,2006,High
231,Golden State Warriors,0.455,48.5,106.6,36.5,81.2,0.45,11.1,31.0,0.358,22.5,30.5,0.735,2006-07,Conf Semis,0.3817733990147783,0.3123827392120075,2006,Medium
232,Houston Rockets,0.429,48.0,87.3,29.7,72.4,0.41,7.1,22.3,0.321,20.7,26.3,0.7879999999999999,2006-07,R1 Exit,0.30801104972375687,0.2439862542955326,2006,Low
233,Dallas Mavericks,0.333,48.0,98.5,34.2,80.8,0.423,7.0,22.2,0.316,23.2,30.0,0.772,2006-07,R1 Exit,0.2747524752475248,0.2131979695431472,2006,Low
234,Toronto Raptors,0.333,48.0,90.8,32.5,73.5,0.442,5.3,14.5,0.368,20.5,25.5,0.804,2006-07,R1 Exit,0.19727891156462585,0.1751101321585903,2006,High
235,Denver Nuggets,0.2,48.0,88.2,33.6,79.4,0.423,4.6,14.4,0.319,16.4,21.0,0.7809999999999999,2006-07,R1 Exit,0.181360201511335,0.15646258503401358,2006,Low
