teamstatspk,Team,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,three_point_shooting_volume,three_point_total_contribution
679,Atlanta Hawks,0.402,3956,7711,2901,6610,43.9,423,1194,35.4,1486,1942,76.5,2001-02,0.18063540090771557,0.164570094669952
680,New York Knicks,0.366,3961,7514,2817,6520,43.2,474,1344,35.3,1406,1786,78.7,2001-02,0.20613496932515338,0.1892467394197498
681,Cleveland Cavaliers,0.354,3971,7812,2948,6582,44.8,387,1026,37.7,1529,1980,77.2,2001-02,0.15587967183226983,0.14861751152073732
682,Houston Rockets,0.341,3996,7572,2837,6629,42.8,496,1480,33.5,1402,1893,74.1,2001-02,0.22326142706290542,0.196513470681458
683,Denver Nuggets,0.329,3961,7559,2915,6870,42.4,423,1285,32.9,1306,1756,74.4,2001-02,0.18704512372634644,0.167879349120254
684,Memphis Grizzlies,0.28,3956,7372,2851,6535,43.6,336,1096,30.7,1334,1883,70.8,2001-02,0.1677123182861515,0.1367335865436788
685,Chicago Bulls,0.256,3961,7335,2811,6491,43.3,300,868,34.6,1413,1958,72.2,2001-02,0.1337236173162841,0.12269938650306748
686,Golden State Warriors,0.256,3956,8009,2998,6989,42.9,320,994,32.2,1693,2344,72.2,2001-02,0.14222349406209758,0.11986515170433262
687,San Antonio Spurs,0.707,3966,7886,2884,6262,46.1,445,1094,40.7,1673,2340,71.5,2000-01,0.17470456723091665,0.1692873446614253
688,Los Angeles Lakers,0.683,3981,8251,3109,6685,46.5,439,1275,34.4,1594,2333,68.3,2000-01,0.1907255048616305,0.15961701611925827
689,Philadelphia 76ers,0.683,3971,7763,2902,6487,44.7,262,803,32.6,1697,2277,74.5,2000-01,0.12378603360567289,0.10124951693932759
690,Sacramento Kings,0.671,4016,8343,3132,6969,44.9,479,1353,35.4,1600,2075,77.1,2000-01,0.1941455015066724,0.17224020136641496
691,Dallas Mavericks,0.646,3961,8239,3085,6716,45.9,517,1357,38.1,1552,1954,79.4,2000-01,0.20205479452054795,0.1882510013351135
692,Utah Jazz,0.646,3956,7959,2960,6289,47.1,325,852,38.1,1714,2280,75.2,2000-01,0.1354746382572746,0.12250282698831512
693,Milwaukee Bucks,0.634,3956,8260,3112,6798,45.8,562,1481,37.9,1474,1874,78.7,2000-01,0.21785819358634892,0.20411622276029057
694,Phoenix Suns,0.622,3961,7710,2944,6757,43.6,332,1054,31.5,1490,1973,75.5,2000-01,0.15598638449015836,0.12918287937743192
695,Miami Heat,0.61,3976,7289,2694,6258,43.0,478,1384,34.5,1423,1874,75.9,2000-01,0.22115691914349633,0.1967348058718617
696,Portland Trail Blazers,0.61,3956,7824,3004,6417,46.8,369,1057,34.9,1447,1899,76.2,2000-01,0.16471871591086176,0.14148773006134968
697,New York Knicks,0.585,3981,7275,2755,6198,44.4,391,1115,35.1,1374,1727,79.6,2000-01,0.1798967408841562,0.16123711340206184
698,Minnesota Timberwolves,0.573,3966,7982,3148,6871,45.8,322,901,35.7,1364,1737,78.5,2000-01,0.13113083976131568,0.12102230017539464
699,Toronto Raptors,0.573,3991,8007,3048,6972,43.7,429,1164,36.9,1482,1985,74.7,2000-01,0.16695352839931152,0.1607343574372424
700,Charlotte Hornets,0.561,3976,7539,2800,6501,43.1,340,984,34.6,1599,2146,74.5,2000-01,0.15136132902630364,0.13529645841623558
701,Houston Rockets,0.549,3966,7972,2943,6494,45.3,504,1412,35.7,1582,2086,75.8,2000-01,0.2174314752078842,0.18966382338183643
702,Seattle SuperSonics,0.537,3961,7978,3029,6649,45.6,466,1169,39.9,1454,1986,73.2,2000-01,0.17581591216724318,0.17523188769115067
