teamstatspk,Team,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,three_point_shooting_volume,three_point_total_contribution
70,Toronto Raptors,0.585,3971,8970,3332,7489,44.5,979,2808,34.9,1327,1749,75.9,2021-22,0.37494992655895315,0.3274247491638796
71,Chicago Bulls,0.561,3946,9152,3422,7127,48.0,872,2364,36.9,1436,1766,81.3,2021-22,0.33169636593236984,0.28583916083916083
72,Minnesota Timberwolves,0.561,3956,9507,3411,7458,45.7,1211,3386,35.8,1474,1894,77.8,2021-22,0.4540091177259319,0.3821394761754497
73,Brooklyn Nets,0.537,3951,9258,3442,7251,47.5,940,2602,36.1,1434,1781,80.5,2021-22,0.3588470555785409,0.304601425793908
74,Cleveland Cavaliers,0.537,3946,8839,3255,6940,46.9,953,2686,35.5,1376,1810,76.0,2021-22,0.38703170028818445,0.323452879284987
75,Atlanta Hawks,0.524,3941,9343,3401,7241,47.0,1056,2821,37.4,1485,1829,81.2,2021-22,0.3895870736086176,0.3390773841378572
76,Charlotte Hornets,0.524,3976,9457,3508,7497,46.8,1143,3130,36.5,1298,1753,74.0,2021-22,0.41750033346672,0.362588558739558
77,LA Clippers,0.512,3956,8890,3285,7170,45.8,1047,2802,37.4,1273,1606,79.3,2021-22,0.3907949790794979,0.35331833520809897
78,New York Knicks,0.451,3956,8731,3088,7069,43.7,1082,3029,35.7,1473,1980,74.4,2021-22,0.42849059272881596,0.3717787195052113
79,New Orleans Pelicans,0.439,3951,8962,3294,7212,45.7,873,2629,33.2,1501,1903,78.9,2021-22,0.36453133666112036,0.2922338763668824
80,Washington Wizards,0.427,3966,8907,3327,7056,47.2,860,2512,34.2,1393,1778,78.3,2021-22,0.35600907029478457,0.28965981812057934
81,San Antonio Spurs,0.415,3961,9279,3546,7601,46.7,925,2626,35.2,1262,1673,75.4,2021-22,0.3454808577818708,0.29906239896540576
82,Los Angeles Lakers,0.402,3996,9192,3415,7279,46.9,982,2826,34.7,1380,1884,73.2,2021-22,0.3882401428767688,0.32049608355091386
83,Sacramento Kings,0.366,3961,9045,3321,7223,46.0,937,2722,34.4,1466,1908,76.8,2021-22,0.3768517236605289,0.3107794361525705
84,Portland Trail Blazers,0.329,3946,8711,3161,7144,44.2,1043,3017,34.6,1346,1771,76.0,2021-22,0.4223124300111982,0.35920101021696704
85,Indiana Pacers,0.305,3976,9140,3398,7338,46.3,997,2899,34.4,1347,1754,76.8,2021-22,0.3950667756881984,0.32724288840262583
86,Oklahoma City Thunder,0.293,3961,8506,3141,7310,43.0,991,3066,32.3,1233,1632,75.6,2021-22,0.4194254445964432,0.3495179873030802
87,Detroit Pistons,0.28,3956,8596,3129,7267,43.1,925,2838,32.6,1413,1806,78.2,2021-22,0.3905325443786982,0.3228245695672406
88,Orlando Magic,0.268,3956,8547,3139,7240,43.4,999,3022,33.1,1270,1614,78.7,2021-22,0.41740331491712707,0.35064935064935066
89,Houston Rockets,0.244,3951,8997,3229,7083,45.6,1105,3170,34.9,1434,2010,71.3,2021-22,0.4475504729634336,0.36845615205068355
90,Utah Jazz,0.722,3471,8382,2971,6344,46.8,1205,3098,38.9,1235,1546,79.9,2020-21,0.48833543505674654,0.43128131710808876
91,Phoenix Suns,0.708,3496,8300,3118,6357,49.0,940,2490,37.8,1124,1347,83.4,2020-21,0.39169419537517697,0.3397590361445783
92,Philadelphia 76ers,0.681,3486,8182,2981,6257,47.6,811,2169,37.4,1409,1836,76.7,2020-21,0.34665175003995524,0.29736005866536297
93,Brooklyn Nets,0.667,3481,8537,3106,6289,49.4,1020,2600,39.2,1305,1623,80.4,2020-21,0.413420257592622,0.35843973292725784
94,Denver Nuggets,0.653,3496,8284,3114,6422,48.5,927,2462,37.7,1129,1406,80.3,2020-21,0.3833696667704765,0.33570738773539355
95,LA Clippers,0.653,3456,8209,3009,6242,48.2,1027,2498,41.1,1164,1387,83.9,2020-21,0.40019224607497594,0.37531977098306735
96,Milwaukee Bucks,0.639,3466,8649,3221,6610,48.7,1038,2669,38.9,1169,1539,76.0,2020-21,0.4037821482602118,0.3600416233090531
97,Dallas Mavericks,0.583,3461,8096,2958,6287,47.0,994,2744,36.2,1186,1524,77.8,2020-21,0.43645617941784637,0.3683300395256917
98,Los Angeles Lakers,0.583,3491,7887,2925,6197,47.2,796,2248,35.4,1241,1679,73.9,2020-21,0.3627561723414555,0.302776721186763
99,Portland Trail Blazers,0.583,3461,8360,2973,6558,45.3,1132,2939,38.5,1282,1558,82.3,2020-21,0.4481549252820982,0.4062200956937799
100,Atlanta Hawks,0.569,3481,8186,2937,6281,46.8,895,2402,37.3,1417,1745,81.2,2020-21,0.38242318102213024,0.32799902272172
101,New York Knicks,0.569,3486,7706,2839,6225,45.6,847,2163,39.2,1181,1506,78.4,2020-21,0.3474698795180723,0.32974305735790294
102,Miami Heat,0.556,3476,7781,2824,6029,46.8,932,2606,35.8,1201,1520,79.0,2020-21,0.432244153259247,0.3593368461637322
103,Golden State Warriors,0.542,3461,8187,2973,6347,46.8,1048,2789,37.6,1193,1520,78.5,2020-21,0.43942019851898534,0.3840234518138512
104,Memphis Grizzlies,0.528,3481,8157,3085,6608,46.7,803,2258,35.6,1184,1536,77.1,2020-21,0.34170702179176754,0.2953291651342405
105,Boston Celtics,0.5,3476,8109,2985,6401,46.6,979,2618,37.4,1160,1496,77.5,2020-21,0.40899859396969224,0.3621901590825009
106,Indiana Pacers,0.472,3491,8302,3115,6567,47.4,889,2445,36.4,1183,1493,79.2,2020-21,0.37231612608497033,0.321247892074199
107,Washington Wizards,0.472,3481,8398,3108,6547,47.5,733,2088,35.1,1449,1884,76.9,2020-21,0.31892469833511533,0.26184805906168135
108,Charlotte Hornets,0.458,3471,7881,2875,6324,45.5,985,2666,36.9,1146,1505,76.1,2020-21,0.4215686274509804,0.37495241720593836
109,San Antonio Spurs,0.458,3496,7998,3014,6518,46.2,716,2046,35.0,1254,1584,79.2,2020-21,0.31389996931574105,0.2685671417854464
110,Chicago Bulls,0.431,3476,7969,3035,6380,47.6,904,2446,37.0,995,1258,79.1,2020-21,0.3833855799373041,0.3403187350985067
111,New Orleans Pelicans,0.431,3486,8251,3060,6412,47.7,762,2190,34.8,1369,1878,72.9,2020-21,0.3415470991890206,0.27705732638468067
112,Sacramento Kings,0.431,3461,8189,3067,6382,48.1,874,2400,36.4,1181,1585,74.5,2020-21,0.3760576621748668,0.32018561484918795
113,Toronto Raptors,0.375,3461,8011,2859,6383,44.8,1041,2831,36.8,1252,1536,81.5,2020-21,0.44352185492715024,0.38983897141430535
114,Minnesota Timberwolves,0.319,3481,8073,2932,6546,44.8,944,2706,34.9,1265,1662,76.1,2020-21,0.41338221814848763,0.35079895949461165
115,Cleveland Cavaliers,0.306,3486,7476,2778,6175,45.0,720,2141,33.6,1200,1614,74.3,2020-21,0.3467206477732794,0.28892455858747995
116,Oklahoma City Thunder,0.306,3471,7560,2795,6338,44.1,857,2529,33.9,1113,1536,72.5,2020-21,0.39902177343010414,0.3400793650793651
117,Orlando Magic,0.292,3466,7488,2754,6423,42.9,784,2288,34.3,1196,1543,77.5,2020-21,0.35621983496808346,0.3141025641025641
118,Detroit Pistons,0.278,3486,7676,2783,6162,45.2,832,2370,35.1,1278,1683,75.9,2020-21,0.38461538461538464,0.3251693590411673
119,Houston Rockets,0.236,3461,7833,2826,6372,44.4,992,2923,33.9,1189,1606,74.0,2020-21,0.45872567482736976,0.3799310608962084
120,Milwaukee Bucks,0.767,3519,8663,3160,6638,47.6,1007,2840,35.5,1336,1800,74.2,2019-20,0.4278397107562519,0.34872446034860904
121,Toronto Raptors,0.736,3476,8118,2897,6331,45.8,995,2663,37.4,1329,1670,79.6,2019-20,0.4206286526615069,0.3677014042867701
122,Los Angeles Lakers,0.732,3418,8054,3006,6269,48.0,782,2242,34.9,1260,1728,72.9,2019-20,0.35763279629925027,0.29128383411969205
123,LA Clippers,0.681,3476,8377,2992,6425,46.6,895,2410,37.1,1498,1894,79.1,2019-20,0.37509727626459144,0.3205204727229318
124,Boston Celtics,0.667,3486,8183,2971,6448,46.1,905,2487,36.4,1336,1668,80.1,2019-20,0.3857009925558313,0.33178540877428814
125,Denver Nuggets,0.63,3549,8124,3069,6488,47.3,801,2234,35.9,1185,1526,77.7,2019-20,0.34432799013563503,0.29579025110782864
126,Indiana Pacers,0.616,3524,7989,3075,6457,47.6,743,2046,36.3,1096,1393,78.7,2019-20,0.31686541737649065,0.2790086368757041
127,Houston Rockets,0.611,3476,8482,2936,6512,45.1,1126,3261,34.5,1484,1876,79.1,2019-20,0.5007678132678133,0.3982551285074275
128,Oklahoma City Thunder,0.611,3486,7950,2879,6156,46.8,770,2171,35.5,1422,1787,79.6,2019-20,0.3526640675763483,0.29056603773584905
129,Utah Jazz,0.611,3471,8013,2886,6130,47.1,963,2537,38.0,1278,1641,77.9,2019-20,0.4138662316476346,0.36053912392362414
130,Miami Heat,0.603,3549,8179,2880,6160,46.8,979,2584,37.9,1440,1840,78.3,2019-20,0.41948051948051945,0.3590903533439296
131,Philadelphia 76ers,0.589,3519,8084,3000,6417,46.8,848,2307,36.8,1236,1638,75.5,2019-20,0.3595137914913511,0.31469569520039586
132,Dallas Mavericks,0.573,3635,8776,3124,6772,46.1,1136,3095,36.7,1392,1787,77.9,2019-20,0.45702894270525696,0.38833181403828626
133,Brooklyn Nets,0.486,3496,8048,2908,6498,44.8,941,2746,34.3,1291,1732,74.5,2019-20,0.422591566635888,0.3507703777335984
134,Portland Trail Blazers,0.473,3567,8508,3122,6749,46.3,952,2525,37.7,1312,1632,80.4,2019-20,0.3741295006667654,0.33568406205923834
135,Memphis Grizzlies,0.466,3514,8222,3106,6634,46.8,798,2297,34.7,1212,1589,76.3,2019-20,0.34624660838106724,0.2911700316224763
136,Phoenix Suns,0.466,3519,8294,3006,6429,46.8,831,2320,35.8,1451,1740,83.4,2019-20,0.36086483123347335,0.30057873161321436
137,Orlando Magic,0.452,3514,7831,2871,6468,44.4,807,2354,34.3,1282,1656,77.4,2019-20,0.36394557823129253,0.30915591878431875
138,San Antonio Spurs,0.451,3443,8098,2995,6350,47.2,760,2021,37.6,1348,1664,81.0,2019-20,0.31826771653543307,0.28155100024697455
139,Sacramento Kings,0.431,3491,7927,2943,6364,46.2,914,2511,36.4,1127,1464,77.0,2019-20,0.39456316781898176,0.345906395862243
140,New Orleans Pelicans,0.417,3486,8341,3065,6598,46.5,982,2656,37.0,1229,1687,72.9,2019-20,0.40254622612913005,0.3531950605442992
141,Charlotte Hornets,0.354,3150,6687,2425,5586,43.4,785,2231,35.2,1052,1406,74.8,2019-20,0.399391335481561,0.3521758636159713
142,Washington Wizards,0.347,3471,8238,2990,6544,45.7,864,2345,36.8,1394,1770,78.8,2019-20,0.35834352078239606,0.314639475600874
143,Chicago Bulls,0.338,3135,6945,2573,5762,44.7,793,2282,34.8,1006,1332,75.5,2019-20,0.396043040610899,0.34254859611231103
144,New York Knicks,0.318,3193,6983,2638,5896,44.7,631,1872,33.7,1076,1550,69.4,2019-20,0.3175033921302578,0.27108692539023344
145,Detroit Pistons,0.303,3193,7078,2595,5658,45.9,791,2157,36.7,1097,1476,74.3,2019-20,0.3812301166489926,0.33526419892625037
146,Atlanta Hawks,0.299,3256,7488,2723,6067,44.9,805,2416,33.3,1237,1566,79.0,2019-20,0.39821987802867975,0.32251602564102566
147,Minnesota Timberwolves,0.297,3112,7248,2586,5865,44.1,853,2540,33.6,1223,1624,75.3,2019-20,0.43307757885763,0.3530629139072848
148,Cleveland Cavaliers,0.292,3145,6948,2619,5715,45.8,727,2070,35.1,983,1296,75.8,2019-20,0.36220472440944884,0.31390328151986185
149,Golden State Warriors,0.231,3145,6912,2510,5730,43.8,678,2032,33.4,1214,1511,80.3,2019-20,0.35462478184991275,0.2942708333333333
150,Milwaukee Bucks,0.732,3956,9686,3555,7471,47.6,1105,3134,35.3,1471,1904,77.3,2018-19,0.41948868959978586,0.3422465413999587
151,Toronto Raptors,0.707,3976,9384,3460,7305,47.4,1015,2771,36.6,1449,1803,80.4,2018-19,0.3793292265571526,0.32448849104859334
152,Golden State Warriors,0.695,3961,9650,3612,7361,49.1,1087,2824,38.5,1339,1672,80.1,2018-19,0.38364352669474255,0.33792746113989636
153,Denver Nuggets,0.659,3946,9075,3439,7384,46.6,903,2571,35.1,1294,1714,75.5,2018-19,0.3481852654387866,0.29851239669421487
154,Houston Rockets,0.646,3966,9341,3218,7163,44.9,1323,3721,35.6,1582,2001,79.1,2018-19,0.5194750802736283,0.42490097419976447
155,Portland Trail Blazers,0.646,3971,9402,3470,7427,46.7,904,2520,35.9,1558,1914,81.4,2018-19,0.3393025447690858,0.28844926611359284
156,Philadelphia 76ers,0.622,3961,9445,3407,7233,47.1,889,2474,35.9,1742,2258,77.1,2018-19,0.34204341213880823,0.2823716251985177
157,Utah Jazz,0.61,3951,9161,3314,7082,46.8,993,2789,35.6,1540,2092,73.6,2018-19,0.39381530641061846,0.32518284030127714
158,Boston Celtics,0.598,3956,9216,3451,7423,46.5,1032,2829,36.5,1282,1598,80.2,2018-19,0.38111275764515695,0.3359375
159,Oklahoma City Thunder,0.598,3971,9387,3497,7706,45.4,932,2677,34.8,1461,2049,71.3,2018-19,0.3473916428756813,0.29785874081176095
160,Indiana Pacers,0.585,3941,8857,3390,7135,47.5,779,2081,37.4,1298,1727,75.2,2018-19,0.29166082690960055,0.2638590945015242
161,LA Clippers,0.585,3966,9442,3384,7178,47.1,821,2118,38.8,1853,2340,79.2,2018-19,0.2950682641404291,0.260855750900233
162,San Antonio Spurs,0.585,3961,9156,3468,7248,47.8,812,2071,39.2,1408,1720,81.9,2018-19,0.28573399558498896,0.26605504587155965
163,Brooklyn Nets,0.512,3996,9204,3301,7358,44.9,1047,2965,35.3,1555,2088,74.5,2018-19,0.40296276162000544,0.341264667535854
164,Orlando Magic,0.512,3956,8800,3316,7307,45.4,937,2633,35.6,1231,1575,78.2,2018-19,0.3603394005747913,0.3194318181818182
165,Detroit Pistons,0.5,3971,8778,3185,7238,44.0,993,2854,34.8,1415,1893,74.7,2018-19,0.39430781983973473,0.3393711551606288
166,Charlotte Hornets,0.476,3966,9081,3297,7362,44.8,977,2783,35.1,1510,1895,79.7,2018-19,0.37802227655528386,0.3227618103733069
167,Miami Heat,0.476,3946,8668,3251,7218,45.0,928,2658,34.9,1238,1782,69.5,2018-19,0.36824605153782214,0.32118135671435166
168,Sacramento Kings,0.476,3946,9363,3541,7637,46.4,927,2455,37.8,1354,1865,72.6,2018-19,0.32146130679586227,0.2970201858378725
169,Los Angeles Lakers,0.451,3956,9165,3491,7425,47.0,847,2541,33.3,1336,1910,69.9,2018-19,0.3422222222222222,0.2772504091653028
170,Minnesota Timberwolves,0.439,3966,9223,3413,7483,45.6,827,2357,35.1,1570,1995,78.7,2018-19,0.3149806227448884,0.26900140951967905
171,Dallas Mavericks,0.402,3956,8927,3182,7122,44.7,1022,3002,34.0,1541,2076,74.2,2018-19,0.42151081156978376,0.34345244763078303
172,Memphis Grizzlies,0.402,3976,8490,3113,6924,45.0,811,2368,34.2,1453,1882,77.2,2018-19,0.341998844598498,0.2865724381625442
173,New Orleans Pelicans,0.402,3951,9466,3581,7563,47.3,842,2449,34.4,1462,1921,76.1,2018-19,0.32381330159989424,0.26684977815339106
174,Washington Wizards,0.39,3986,9350,3456,7387,46.8,930,2731,34.1,1508,1963,76.8,2018-19,0.36970353323405986,0.2983957219251337
175,Atlanta Hawks,0.354,3971,9294,3392,7524,45.1,1067,3034,35.2,1443,1918,75.2,2018-19,0.40324295587453485,0.3444157520981278
176,Chicago Bulls,0.268,3981,8605,3266,7205,45.3,745,2123,35.1,1328,1695,78.3,2018-19,0.29465648854961835,0.2597327135386403
177,Cleveland Cavaliers,0.232,3951,8567,3189,7184,44.4,847,2388,35.5,1342,1694,79.2,2018-19,0.33240534521158127,0.2966032450099218
178,Phoenix Suns,0.232,3976,8815,3289,7164,45.9,790,2400,32.9,1447,1858,77.9,2018-19,0.33500837520938026,0.2688598979013046
179,New York Knicks,0.207,3956,8575,3134,7241,43.3,823,2421,34.0,1484,1956,75.9,2018-19,0.33434608479491784,0.28793002915451893
180,Houston Rockets,0.793,3951,9213,3174,6906,46.0,1256,3470,36.2,1609,2061,78.1,2017-18,0.5024616275702288,0.40898730055356564
181,Toronto Raptors,0.72,3966,9156,3383,7169,47.2,968,2705,35.8,1422,1790,79.4,2017-18,0.3773190124145627,0.31716906946264745
182,Golden State Warriors,0.707,3946,9304,3509,6979,50.3,926,2369,39.1,1360,1668,81.5,2017-18,0.3394469121650666,0.2985812553740327
183,Boston Celtics,0.671,3961,8529,3141,6975,45.0,939,2492,37.7,1308,1697,77.1,2017-18,0.35727598566308244,0.33028491030601476
184,Philadelphia 76ers,0.634,3956,9004,3349,7098,47.2,901,2445,36.9,1405,1868,75.2,2017-18,0.3444632290786137,0.30019991115059974
185,Cleveland Cavaliers,0.61,3946,9091,3311,6950,47.6,981,2636,37.2,1488,1909,77.9,2017-18,0.37928057553956834,0.32372676273237266
186,Portland Trail Blazers,0.598,3951,8661,3222,7132,45.2,845,2308,36.6,1372,1715,80.0,2017-18,0.3236118900729108,0.29269137512989263
187,Indiana Pacers,0.585,3951,8656,3345,7083,47.2,741,2010,36.9,1225,1573,77.9,2017-18,0.28377806014400675,0.25681608133086875
188,New Orleans Pelicans,0.585,3991,9161,3500,7241,48.3,837,2312,36.2,1324,1716,77.2,2017-18,0.31929291534318466,0.27409671433249644
189,Oklahoma City Thunder,0.585,3966,8844,3271,7221,45.3,881,2491,35.4,1421,1985,71.6,2017-18,0.3449660711812768,0.29884667571234735
190,Utah Jazz,0.585,3951,8540,3139,6797,46.2,887,2425,36.6,1375,1766,77.9,2017-18,0.3567750478152126,0.3115925058548009
191,Minnesota Timberwolves,0.573,3961,8980,3365,7063,47.6,658,1845,35.7,1592,1980,80.4,2017-18,0.2612204445702959,0.2198218262806236
192,San Antonio Spurs,0.573,3946,8424,3202,6999,45.7,696,1977,35.2,1324,1715,77.2,2017-18,0.28246892413201885,0.24786324786324787
193,Denver Nuggets,0.561,3976,9020,3338,7102,47.0,940,2536,37.1,1404,1830,76.7,2017-18,0.3570825119684596,0.31263858093126384
194,Miami Heat,0.537,3986,8480,3184,6997,45.5,903,2506,36.0,1209,1601,75.5,2017-18,0.35815349435472343,0.31945754716981134
195,Milwaukee Bucks,0.537,3966,8731,3257,6807,47.8,718,2024,35.5,1499,1915,78.3,2017-18,0.29734097252827973,0.24670713549421602
196,Washington Wizards,0.524,3971,8742,3275,7018,46.7,814,2173,37.5,1378,1786,77.2,2017-18,0.30963237389569676,0.27934111187371313
197,LA Clippers,0.512,3941,8937,3302,7004,47.1,777,2196,35.4,1556,2095,74.3,2017-18,0.31353512278697887,0.2608257804632427
198,Detroit Pistons,0.476,3961,8509,3208,7129,45.0,886,2373,37.3,1207,1621,74.5,2017-18,0.33286575957357273,0.312375132212951
199,Charlotte Hornets,0.439,3956,8874,3197,7106,45.0,824,2233,36.9,1656,2216,74.7,2017-18,0.3142414860681115,0.27856659905341447
200,Los Angeles Lakers,0.427,3981,8862,3338,7248,46.1,822,2384,34.5,1364,1910,71.4,2017-18,0.32891832229580575,0.27826675693974273
201,New York Knicks,0.354,3966,8566,3334,7193,46.4,673,1914,35.2,1225,1557,78.7,2017-18,0.2660920339218685,0.23569927620826522
202,Brooklyn Nets,0.341,3971,8741,3136,7114,44.1,1041,2924,35.6,1428,1850,77.2,2017-18,0.41102052291256674,0.357281775540556
203,Chicago Bulls,0.329,3971,8440,3170,7285,43.5,906,2549,35.5,1194,1574,75.9,2017-18,0.34989704873026767,0.32203791469194315
204,Sacramento Kings,0.329,3951,8104,3179,7063,45.0,738,1967,37.5,1008,1371,73.5,2017-18,0.27849355797819625,0.2731984205330701
205,Orlando Magic,0.305,3946,8479,3182,7042,45.2,844,2405,35.1,1271,1678,75.7,2017-18,0.34152229480261287,0.29862012029720486
206,Atlanta Hawks,0.293,3941,8475,3130,7015,44.6,917,2544,36.0,1298,1654,78.5,2017-18,0.36265146115466856,0.3246017699115044
207,Dallas Mavericks,0.293,3961,8390,3128,7042,44.4,967,2688,36.0,1167,1530,76.3,2017-18,0.3817097415506958,0.3457687723480334
208,Memphis Grizzlies,0.268,3941,8145,3013,6788,44.4,758,2152,35.2,1361,1732,78.6,2017-18,0.3170300530347672,0.27918968692449353
209,Phoenix Suns,0.256,3941,8522,3153,7141,44.2,763,2286,33.4,1453,1962,74.1,2017-18,0.3201232320403305,0.268598920441211
210,Golden State Warriors,0.817,3956,9503,3532,7140,49.5,982,2562,38.3,1457,1850,78.8,2016-17,0.3588235294117647,0.3100073660949174
211,San Antonio Spurs,0.744,3961,8637,3222,6864,46.9,753,1927,39.1,1440,1806,79.7,2016-17,0.28074009324009325,0.2615491490100729
212,Houston Rockets,0.671,3956,9458,3305,7152,46.2,1181,3306,35.7,1667,2177,76.6,2016-17,0.462248322147651,0.374603510255868
213,Boston Celtics,0.646,3951,8857,3168,6977,45.4,985,2741,35.9,1536,1903,80.7,2016-17,0.3928622617170704,0.3336344134582816
214,Cleveland Cavaliers,0.622,3976,9048,3275,6963,47.0,1067,2779,38.4,1431,1913,74.8,2016-17,0.39910957920436596,0.35377984084880637
215,LA Clippers,0.622,3951,8911,3242,6820,47.5,841,2245,37.5,1586,2128,74.5,2016-17,0.3291788856304985,0.2831332061497026
216,Toronto Raptors,0.622,3956,8762,3211,6918,46.4,725,1996,36.3,1615,2028,79.6,2016-17,0.2885226944203527,0.24823099748915772
217,Utah Jazz,0.622,3951,8258,3033,6515,46.6,791,2128,37.2,1401,1875,74.7,2016-17,0.3266308518802763,0.28735771373213853
218,Washington Wizards,0.598,3971,8953,3388,7137,47.5,756,2030,37.2,1421,1812,78.4,2016-17,0.28443323525290737,0.253322908522283
219,Oklahoma City Thunder,0.573,3961,8741,3237,7169,45.2,692,2116,32.7,1575,2113,74.5,2016-17,0.29515971544148417,0.23750143004232926
220,Atlanta Hawks,0.524,3976,8459,3123,6918,45.1,729,2137,34.1,1484,2039,72.8,2016-17,0.3089043076033536,0.2585411987232533
221,Memphis Grizzlies,0.524,3981,8239,2984,6854,43.5,767,2169,35.4,1504,1918,78.4,2016-17,0.31645754304056023,0.27928146619735406
222,Indiana Pacers,0.512,3971,8618,3221,6931,46.5,709,1885,37.6,1467,1811,81.0,2016-17,0.2719665271966527,0.24680900440937573
223,Milwaukee Bucks,0.512,3956,8497,3182,6715,47.4,720,1946,37.0,1413,1839,76.8,2016-17,0.2897989575577066,0.25420736730610805
224,Chicago Bulls,0.5,3956,8435,3169,7141,44.4,623,1831,34.0,1474,1848,79.8,2016-17,0.2564066657330906,0.22157676348547717
225,Miami Heat,0.5,3956,8460,3202,7037,45.5,808,2213,36.5,1248,1768,70.6,2016-17,0.314480602529487,0.2865248226950355
226,Portland Trail Blazers,0.5,3986,8851,3243,7059,45.9,852,2272,37.5,1513,1940,78.0,2016-17,0.3218586202011616,0.2887809287086205
227,Denver Nuggets,0.488,3951,9161,3377,7194,46.9,870,2365,36.8,1537,1986,77.4,2016-17,0.3287461773700306,0.2849033948258924
228,Detroit Pistons,0.451,3961,8309,3269,7282,44.9,631,1915,33.0,1140,1586,71.9,2016-17,0.26297720406481734,0.22782524972920928
229,Charlotte Hornets,0.439,3966,8601,3093,7000,44.2,824,2347,35.1,1591,1953,81.5,2016-17,0.3352857142857143,0.28740844087896755
230,New Orleans Pelicans,0.415,3981,8556,3210,7130,45.0,768,2196,35.0,1368,1825,75.0,2016-17,0.30799438990182326,0.26928471248246844
231,Dallas Mavericks,0.402,3956,8029,2968,6750,44.0,878,2473,35.5,1215,1516,80.1,2016-17,0.36637037037037035,0.3280607796736829
232,Sacramento Kings,0.39,3976,8430,3105,6734,46.1,737,1960,37.6,1483,1913,77.5,2016-17,0.2910602910602911,0.26227758007117435
233,Minnesota Timberwolves,0.378,3961,8657,3235,6922,46.7,601,1723,34.9,1586,1986,79.9,2016-17,0.2489164981219301,0.20827076354395288
234,New York Knicks,0.378,3971,8556,3244,7256,44.7,704,2022,34.8,1364,1731,78.8,2016-17,0.27866593164277836,0.24684431977559607
235,Orlando Magic,0.354,3961,8288,3139,7133,44.0,701,2139,32.8,1309,1753,74.7,2016-17,0.299873825879714,0.2537403474903475
236,Philadelphia 76ers,0.341,3966,8400,3088,6992,44.2,831,2443,34.0,1393,1806,77.1,2016-17,0.34939931350114417,0.29678571428571426
237,Los Angeles Lakers,0.317,3941,8575,3224,7164,45.0,730,2110,34.6,1397,1853,75.4,2016-17,0.2945281965382468,0.2553935860058309
238,Phoenix Suns,0.293,3966,8831,3270,7260,45.0,615,1854,33.2,1676,2159,77.6,2016-17,0.2553719008264463,0.20892311176537198
239,Brooklyn Nets,0.244,3951,8673,3102,6987,44.4,877,2591,33.8,1592,2020,78.8,2016-17,0.37083154429655074,0.30335524040124523
240,Golden State Warriors,0.89,3976,9421,3489,7159,48.7,1077,2592,41.6,1366,1790,76.3,2015-16,0.3620617404665456,0.3429572232247107
241,San Antonio Spurs,0.817,3941,8490,3289,6797,48.4,570,1518,37.5,1342,1672,80.3,2015-16,0.22333382374577018,0.20141342756183744
242,Cleveland Cavaliers,0.695,3971,8555,3171,6888,46.0,880,2428,36.2,1333,1783,74.8,2015-16,0.3524970963995354,0.3085914669783752
243,Toronto Raptors,0.683,3956,8422,3006,6669,45.1,708,1915,37.0,1702,2190,77.7,2015-16,0.2871494976758135,0.2521966278793636
244,Oklahoma City Thunder,0.671,3966,9038,3372,7082,47.6,678,1945,34.9,1616,2067,78.2,2015-16,0.274639932222536,0.22504978977649923
245,LA Clippers,0.646,3966,8569,3141,6759,46.5,797,2190,36.4,1490,2152,69.2,2015-16,0.32401242787394585,0.27902905823316604
246,Atlanta Hawks,0.585,3966,8433,3168,6923,45.8,815,2326,35.0,1282,1638,78.3,2015-16,0.33598151090567674,0.28993240839558876
247,Boston Celtics,0.585,3956,8669,3216,7318,43.9,717,2142,33.5,1520,1929,78.8,2015-16,0.29270292429625583,0.24812550467181912
248,Charlotte Hornets,0.585,3971,8479,3036,6922,43.9,873,2410,36.2,1534,1941,79.0,2015-16,0.3481652701531349,0.30888076424106614
249,Miami Heat,0.585,3966,8204,3150,6697,47.0,498,1480,33.6,1406,1889,74.4,2015-16,0.22099447513812154,0.18210628961482203
250,Indiana Pacers,0.549,3976,8377,3142,6985,45.0,663,1889,35.1,1430,1872,76.4,2015-16,0.270436649964209,0.23743583621821654
251,Detroit Pistons,0.537,3976,8361,3111,7087,43.9,740,2148,34.5,1399,2095,66.8,2015-16,0.3030901650910117,0.2655184786508791
252,Portland Trail Blazers,0.537,3961,8622,3167,7040,45.0,864,2336,37.0,1424,1889,75.4,2015-16,0.33181818181818185,0.30062630480167013
253,Chicago Bulls,0.512,3981,8335,3165,7170,44.1,651,1753,37.1,1354,1720,78.7,2015-16,0.24449093444909345,0.2343131373725255
254,Dallas Mavericks,0.512,4001,8388,3064,6900,44.4,806,2342,34.4,1454,1831,79.4,2015-16,0.33942028985507244,0.2882689556509299
255,Memphis Grizzlies,0.512,3966,8126,3019,6859,44.0,504,1521,33.1,1584,2024,78.3,2015-16,0.2217524420469456,0.1860694068422348
256,Houston Rockets,0.5,3966,8737,3094,6847,45.2,878,2533,34.7,1671,2407,69.4,2015-16,0.36994304074777273,0.3014764793407348
257,Washington Wizards,0.5,3951,8534,3238,7033,46.0,709,1983,35.8,1349,1849,73.0,2015-16,0.28195649082894925,0.24923834075462856
